ADDR,LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER
"бульвар Матроса Железняка, дом 20, корпус 1",55.83254,37.527894,8117851,"г. Москва, б-р. Матроса Железняка, д. 20, к. 1",1960,22.05.2015 в 20:42,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,3,60,Не заполнено,Не заполнено,2513.80,2513.80,0.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"бульвар Матроса Железняка, дом 20, корпус 2",55.832363,37.528549,8151819,"г. Москва, б-р. Матроса Железняка, д. 20, к. 2",1960,22.05.2015 в 20:42,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,3,60,Не заполнено,Не заполнено,3087.80,2525.60,562.20,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"бульвар Матроса Железняка, дом 24, корпус 1",55.833865,37.528998,8151855,"г. Москва, б-р. Матроса Железняка, д. 24, к. 1",1960,22.05.2015 в 20:42,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,3,60,Не заполнено,Не заполнено,2826.90,2500.00,326.90,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"бульвар Матроса Железняка, дом 24, корпус 2",55.833688,37.529663,8151859,"г. Москва, б-р. Матроса Железняка, д. 24, к. 2",1959,22.05.2015 в 20:42,Не заполнено,Инд.,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,3,60,Не заполнено,Не заполнено,2492.50,2492.50,0.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"бульвар Матроса Железняка, дом 26/11",55.834517,37.529546,8151889,"г. Москва, б-р. Матроса Железняка, д. 26/11",1959,22.05.2015 в 20:42,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,4,80,Не заполнено,Не заполнено,4057.50,3416.60,640.90,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"бульвар Матроса Железняка, дом 36",55.836969,37.532601,7835998,"г. Москва, б-р. Матроса Железняка, д. 36",1962,25.12.2015 в 14:18,01.03.2010,1-510,Многоквартирный дом,На счете регионального оператора,"ООО ""ЛИМК""",http://www.reformagkh.ru/mymanager/profile/7807794/,Нет,5,5,4,80,80,0,3889.70,3513.70,0.00,0.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Коптевская улица, дом 26, корпус 1",55.835513,37.522019,8152119,"г. Москва, ул. Коптевская, д. 26, к. 1",1953,22.05.2015 в 20:42,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,4,59,Не заполнено,Не заполнено,3767.40,3124.90,642.50,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 26, корпус 2",55.835002,37.521614,8152411,"г. Москва, ул. Коптевская, д. 26, к. 2",1955,23.11.2015 в 20:53,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,3,48,44,4,5182.00,2174.30,416.70,2591.00,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 26, корпус 4",55.834285,37.522629,8152457,"г. Москва, ул. Коптевская, д. 26, к. 4",1956,23.11.2015 в 20:01,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,4,50,48,2,6076.60,2437.10,601.20,3038.30,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 26, корпус 5",55.834714,37.522863,8152461,"г. Москва, ул. Коптевская, д. 26, к. 5",1953,23.11.2015 в 19:32,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,2,39,32,7,6174.60,2081.30,1006.00,3087.30,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 26, корпус 6",55.835341,37.523097,8152468,"г. Москва, ул. Коптевская, д. 26, к. 6",1954,23.11.2015 в 19:31,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,4,46,41,5,7360.20,2504.70,1175.40,3680.10,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 28, корпус 1",55.83571,37.52298,8152472,"г. Москва, ул. Коптевская, д. 28, к. 1",1956,23.11.2015 в 19:25,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,4,4,1,16,16,0,1945.20,972.60,0.00,972.60,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 28, корпус 2",55.835786,37.523609,8152477,"г. Москва, ул. Коптевская, д. 28, к. 2",1958,23.11.2015 в 18:37,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,3,52,50,2,7114.20,3354.40,202.70,3557.10,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 28, корпус 3",55.836201,37.522126,8152480,"г. Москва, ул. Коптевская, д. 28, к. 3",1963,23.11.2015 в 16:35,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,4,72,68,4,7620.00,2898.20,911.80,3810.00,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 75",55.833708,37.519809,8152485,"г. Москва, ул. Коптевская, д. 75",1957,23.11.2015 в 16:33,Не заполнено,Инд.,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,3,49,48,1,6905.20,3309.90,142.70,3452.60,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 77",55.834163,37.519117,8152489,"г. Москва, ул. Коптевская, д. 77",1968,23.11.2015 в 16:30,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,6,120,120,0,9914.20,4957.10,0.00,4957.10,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 79/1",55.834401,37.52015,8152494,"г. Москва, ул. Коптевская, д. 79/1",1962,23.11.2015 в 16:28,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,2,41,40,1,3220.00,1561.40,48.60,1610.00,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 81/2",55.835311,37.520563,8152498,"г. Москва, ул. Коптевская, д. 81/2",1963,23.11.2015 в 16:26,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,6,122,119,3,9631.00,4643.20,172.30,4815.50,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 83, корпус 1",55.836853,37.520635,8152505,"г. Москва, ул. Коптевская, д. 83, к. 1",1954,23.11.2015 в 16:25,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,3,45,42,3,8387.20,2914.00,1279.60,4193.60,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 83, корпус 2",55.836044,37.520806,8152509,"г. Москва, ул. Коптевская, д. 83, к. 2",1957,23.11.2015 в 16:24,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,3,60,55,5,9365.40,3800.00,882.70,4682.70,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 85",55.837399,37.521623,7837090,"г. Москва, ул. Коптевская, д. 85",1961,25.12.2015 в 14:05,01.03.2010,инд.,Многоквартирный дом,На счете регионального оператора,"ООО ""ЛИМК""",http://www.reformagkh.ru/mymanager/profile/7807794/,Нет,5,5,3,54,54,0,2881.00,2282.70,326.30,0.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Коптевская улица, дом 87",55.838096,37.521956,7837102,"г. Москва, ул. Коптевская, д. 87",1960,25.12.2015 в 14:05,01.03.2010,инд.,Многоквартирный дом,На счете регионального оператора,"ООО ""ЛИМК""",http://www.reformagkh.ru/mymanager/profile/7807794/,Нет,5,5,4,76,76,0,3689.90,3310.90,0.00,0.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Коптевская улица, дом 89, корпус 10",55.836833,37.519566,8152519,"г. Москва, ул. Коптевская, д. 89, к. 10",1960,23.11.2015 в 16:23,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,4,82,80,2,8146.20,3335.70,737.40,4073.10,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевская улица, дом 89, корпус 5",55.838516,37.521165,7837113,"г. Москва, ул. Коптевская, д. 89, к. 5",1960,25.12.2015 в 14:06,01.03.2010,инд.,Многоквартирный дом,На счете регионального оператора,"ООО ""ЛИМК""",http://www.reformagkh.ru/mymanager/profile/7807794/,Нет,5,5,3,60,60,0,2722.60,2414.60,0.00,0.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"Коптевская улица, дом 89, корпус 8",55.837358,37.519054,8152514,"г. Москва, ул. Коптевская, д. 89, к. 8",1959,23.11.2015 в 16:22,Не заполнено,I-511,Жилой дом блокированной застройки,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,5,4,80,80,0,6903.80,3451.90,0.00,3451.90,Незаполнено,Незаполнено,,C,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Коптевский бульвар, дом 10",55.831721,37.528019,8152665,"г. Москва, б-р. Коптевский, д. 10",1961,22.05.2015 в 20:42,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,4,80,Не заполнено,Не заполнено,3535.70,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Михалковская улица, дом 5",55.83664,37.53376,7837320,"г. Москва, ул. Михалковская, д. 5",1962,25.12.2015 в 14:19,01.03.2010,1-510,Многоквартирный дом,На счете регионального оператора,"ООО ""ЛИМК""",http://www.reformagkh.ru/mymanager/profile/7807794/,Нет,5,5,4,80,80,0,3899.50,3515.50,0.00,0.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"проезд Черепановых, дом 16",55.837257,37.517832,8152127,"г. Москва, проезд. Черепановых, д. 16",1960,22.05.2015 в 20:42,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,3,60,Не заполнено,Не заполнено,2494.10,2494.10,0.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"проезд Черепановых, дом 20",55.838031,37.519081,7838950,"г. Москва, проезд. Черепановых, д. 20",1959,25.12.2015 в 14:49,01.03.2010,инд.,Многоквартирный дом,На счете регионального оператора,"ООО ""ЛИМК""",http://www.reformagkh.ru/mymanager/profile/7807794/,Нет,5,5,3,60,60,0,2714.50,2479.50,0.00,0.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"проезд Черепановых, дом 22",55.838597,37.519908,7838964,"г. Москва, проезд. Черепановых, д. 22",1962,25.12.2015 в 14:50,01.03.2010,инд.,Многоквартирный дом,На счете регионального оператора,"ООО ""ЛИМК""",http://www.reformagkh.ru/mymanager/profile/7807794/,Нет,5,5,4,68,68,0,3269.50,2916.50,0.00,0.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено
"проезд Черепановых, дом 58",55.844076,37.54065,8021884,"г. Москва, проезд. Черепановых, д. 58",1960,24.02.2016 в 16:40,01.03.2010,II-03,Многоквартирный дом,На специальном счете у регионального оператора,Лаки Бизнес,http://www.reformagkh.ru/mymanager/profile/7656191/,Нет,5,5,3,50,50,1,3850.40,3617.90,232.50,1671.00,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"Старокоптевский переулок, дом 2",55.835554,37.519854,8152639,"г. Москва, пер. Старокоптевский, д. 2",1961,22.05.2015 в 20:42,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,4,80,Не заполнено,Не заполнено,3394.10,3394.10,0.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Старокоптевский переулок, дом 3",55.834765,37.519701,8152643,"г. Москва, пер. Старокоптевский, д. 3",1958,22.05.2015 в 20:42,Не заполнено,I-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник района Коптево""",http://www.reformagkh.ru/mymanager/profile/8073006/,Нет,5,Не заполнено,4,20,Не заполнено,Не заполнено,1727.30,1727.30,0.00,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 11",55.841837,37.537011,8021848,"г. Москва, ул. Генерала Рычагова, д. 11",1963,24.02.2016 в 14:36,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,Лаки Бизнес,http://www.reformagkh.ru/mymanager/profile/7656191/,Нет,5,5,4,80,80,1,3662.70,3522.90,139.80,1938.40,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 13",55.841983,37.537676,8021838,"г. Москва, ул. Генерала Рычагова, д. 13",1962,24.02.2016 в 14:41,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,Лаки Бизнес,http://www.reformagkh.ru/mymanager/profile/7656191/,Нет,5,5,4,74,74,1,3631.10,3252.00,379.10,1940.00,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 15",55.842125,37.538368,8021827,"г. Москва, ул. Генерала Рычагова, д. 15",1962,24.02.2016 в 14:46,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,Лаки Бизнес,http://www.reformagkh.ru/mymanager/profile/7656191/,Нет,5,5,4,80,80,1,3729.60,3509.20,220.40,1862.50,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 16",55.840841,37.537595,8022922,"г. Москва, ул. Генерала Рычагова, д. 16",1961,20.02.2016 в 12:24,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,"""ЕвроТрэвэл 1""",http://www.reformagkh.ru/mymanager/profile/7656159/,Нет,5,5,4,80,80,0,3768.80,3524.20,244.60,1783.20,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 17",55.842272,37.539033,8021819,"г. Москва, ул. Генерала Рычагова, д. 17",1962,24.02.2016 в 14:50,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,Лаки Бизнес,http://www.reformagkh.ru/mymanager/profile/7656191/,Нет,5,5,4,80,80,1,3687.50,3472.00,215.50,1864.00,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 18",55.840983,37.538269,8022924,"г. Москва, ул. Генерала Рычагова, д. 18",1961,20.02.2016 в 12:35,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,"""ЕвроТрэвэл 1""",http://www.reformagkh.ru/mymanager/profile/7656159/,Нет,5,5,4,80,80,1,3778.00,3520.40,257.60,1795.80,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 19",55.842342,37.539814,8021807,"г. Москва, ул. Генерала Рычагова, д. 19",1958,24.02.2016 в 14:54,01.03.2010,II-03,Многоквартирный дом,На специальном счете у регионального оператора,Лаки Бизнес,http://www.reformagkh.ru/mymanager/profile/7656191/,Нет,5,5,3,55,55,1,3683.20,3457.50,225.40,1580.00,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 20",55.841129,37.538934,8022927,"г. Москва, ул. Генерала Рычагова, д. 20",1961,20.02.2016 в 12:44,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,"""ЕвроТрэвэл 1""",http://www.reformagkh.ru/mymanager/profile/7656159/,Нет,5,5,4,78,78,1,3876.60,3428.00,448.60,1736.80,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 22",55.841276,37.539626,8019190,"г. Москва, ул. Генерала Рычагова, д. 22",1961,20.02.2016 в 12:50,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,"""ЕвроТрэвэл 1""",http://www.reformagkh.ru/mymanager/profile/7656159/,Нет,5,5,4,80,80,2,3751.60,3496.70,254.90,1837.40,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 23/11",55.842732,37.542725,8021799,"г. Москва, ул. Генерала Рычагова, д. 23/11",1959,24.02.2016 в 14:57,01.03.2010,Инд.,Многоквартирный дом,На специальном счете у регионального оператора,Лаки Бизнес,http://www.reformagkh.ru/mymanager/profile/7656191/,Нет,5,5,4,60,60,1,3841.60,3214.90,626.70,2161.00,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 24",55.841422,37.540299,8022930,"г. Москва, ул. Генерала Рычагова, д. 24",1962,24.02.2016 в 08:50,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,"""ЕвроТрэвэл 1""",http://www.reformagkh.ru/mymanager/profile/7656159/,Нет,5,5,4,80,80,1,3764.30,3510.80,253.50,1743.00,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 26",55.841544,37.540991,8022932,"г. Москва, ул. Генерала Рычагова, д. 26",1962,24.02.2016 в 09:12,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,"""ЕвроТрэвэл 1""",http://www.reformagkh.ru/mymanager/profile/7656159/,Нет,5,5,4,80,80,2,3736.90,3495.30,241.60,1770.40,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 28/9",55.842378,37.542931,8022934,"г. Москва, ул. Генерала Рычагова, д. 28/9",1961,24.02.2016 в 09:50,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,"""ЕвроТрэвэл 1""",http://www.reformagkh.ru/mymanager/profile/7656159/,Нет,5,5,4,80,80,1,3547.50,3522.80,24.70,2117.00,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 4",55.839289,37.534334,8022915,"г. Москва, ул. Генерала Рычагова, д. 4",1962,24.02.2016 в 10:00,01.03.2010,I-511,Многоквартирный дом,На специальном счете у регионального оператора,"""ЕвроТрэвэл 1""",http://www.reformagkh.ru/mymanager/profile/7656159/,Нет,5,5,3,60,60,0,2480.50,2480.50,0.00,1778.70,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 6",55.8398,37.533993,8022917,"г. Москва, ул. Генерала Рычагова, д. 6",1962,24.02.2016 в 10:11,01.03.2010,I-511,Многоквартирный дом,На специальном счете у регионального оператора,"""ЕвроТрэвэл 1""",http://www.reformagkh.ru/mymanager/profile/7656159/,Нет,5,5,4,80,80,0,3406.20,3406.20,0.00,2076.70,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"улица Генерала Рычагова, дом 9",55.841705,37.536266,8021853,"г. Москва, ул. Генерала Рычагова, д. 9",1964,24.02.2016 в 15:11,01.03.2010,I-510,Многоквартирный дом,На специальном счете у регионального оператора,Лаки Бизнес,http://www.reformagkh.ru/mymanager/profile/7656191/,Нет,5,5,4,78,78,1,3605.50,3473.70,131.80,2188.00,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"1-й Лихачёвский переулок, дом 4, корпус 2А",55.844713,37.518353,8019016,"г. Москва, пер. Лихачевский 1-й, д. 4, к. 2А",1962,24.02.2016 в 11:04,01.07.2007,нет данных,Многоквартирный дом,На счете регионального оператора,РСУ №2 САО,http://www.reformagkh.ru/mymanager/profile/7656172/,Нет,5,5,2,41,40,1,2445.40,1561.20,353.50,530.70,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"1-й Лихачёвский переулок, дом 4, корпус 3",55.845334,37.518731,8022002,"г. Москва, пер. Лихачевский 1-й, д. 4, к. 3",1962,01.07.2015 в 14:11,28.10.2014,1-510,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник Головинского района""",http://www.reformagkh.ru/mymanager/profile/8017189/,Нет,5,Не заполнено,3,60,Не заполнено,Не заполнено,2856.00,2551.00,0.00,Незаполнено,0.00,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"1-й Лихачёвский переулок, дом 6",55.845279,37.517868,8022036,"г. Москва, пер. Лихачевский 1-й, д. 6",1958,16.07.2015 в 09:07,28.10.2014,индивидуальный,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник Головинского района""",http://www.reformagkh.ru/mymanager/profile/8017189/,Нет,4,Не заполнено,3,40,Не заполнено,Не заполнено,3197.70,2711.50,187.20,Незаполнено,0.00,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"2-й Лихачёвский переулок, дом 2",55.844834,37.522764,8022060,"г. Москва, пер. Лихачевский 2-й, д. 2",1960,24.02.2016 в 12:56,01.07.2007,I-511,Многоквартирный дом,На счете регионального оператора,РСУ №2 САО,http://www.reformagkh.ru/mymanager/profile/7656172/,Нет,5,5,3,62,60,2,3997.10,2502.60,282.70,1211.80,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-й Лихачёвский переулок, дом 4",55.84487,37.524615,8022055,"г. Москва, пер. Лихачевский 2-й, д. 4",1965,24.02.2016 в 15:34,01.08.2008,I-510,Многоквартирный дом,На счете регионального оператора,РСУ №2 САО,http://www.reformagkh.ru/mymanager/profile/7656172/,Нет,5,5,4,80,80,0,5606.30,3539.20,0.00,2067.10,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"Авангардная улица, дом 10",55.846249,37.490721,8018945,"г. Москва, ул. Авангардная, д. 10",1968,15.07.2015 в 10:44,28.10.2014,1-511,Многоквартирный дом,Не заполнено,"ГБУ ""Жилищник Головинского района""",http://www.reformagkh.ru/mymanager/profile/8017189/,Нет,5,Не заполнено,5,100,Не заполнено,Не заполнено,4469.10,4054.10,0.00,Незаполнено,0.00,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено
"Авангардная улица, дом 14",55.847437,37.491305,8022267,"г. Москва, ул. Авангардная, д. 14",1967,17.02.2016 в 10:10,01.07.2007,1-511,Многоквартирный дом,На счете регионального оператора,УК ДЭЗ «Головинский»,http://www.reformagkh.ru/mymanager/profile/7656200/,Нет,5,5,5,100,100,0,6357.30,4039.80,0.00,2317.50,0.00,0.00,,D,Не имеется,Не имеется,Не имеется,Не заполнено
"Авангардная улица, дом 20",55.848822,37.490506,8022321,"г. Москва, ул. Авангардная, д. 20",1968,17.02.2016 в 13:19,01.07.2007,1-511,Многоквартирный дом,На счете регионального оператора,УК ДЭЗ «Головинский»,http://www.reformagkh.ru/mymanager/profile/7656200/,Нет,5,5,6,119,119,0,7898.50,4953.10,0.00,2945.40,0.00,0.00,,C,Не имеется,Не имеется,Не имеется,Не заполнено
"Авангардная улица, дом 22/32, корпус 1",55.84918,37.491152,8022330,"г. Москва, ул. Авангардная, д. 22/32, к. 1",1967,18.02.2016 в 14:51,01.07.2007,1-511,Многоквартирный дом,На счете регионального оператора,УК ДЭЗ «Головинский»,http://www.reformagkh.ru/mymanager/profile/7656200/,Нет,5,5,8,159,159,0,10740.20,6761.40,0.00,3978.80,0.00,0.00,,D,Не имеется,Не имеется,Не имеется,Не заполнено
"Авангардная улица, дом 22/32, корпус 2",55.848119,37.491745,8022338,"г. Москва, ул. Авангардная, д. 22/32, к. 2",1968,17.02.2016 в 15:21,01.07.2007,1-511,Многоквартирный дом,На счете регионального оператора,УК ДЭЗ «Головинский»,http://www.reformagkh.ru/mymanager/profile/7656200/,Нет,5,5,5,100,100,0,6433.30,4088.90,0.00,2344.40,0.00,0.00,,D,Не имеется,Не имеется,Не имеется,Не заполнено
