ADDR,LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER
"1-я Владимирская улица, дом 41",55.749091,37.781353,7677737,"г. Москва, ул. Владимирская 1-я, д. 41",1964,01.03.2016 в 10:34,01.07.2009,Индивидуальный,Многоквартирный дом,На специальном счете организации,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,81,80,1,4175.00,3460.00,315.00,1512.90,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"1-я Владимирская улица, дом 43",55.748493,37.781156,7677742,"г. Москва, ул. Владимирская 1-я, д. 43",1962,01.03.2016 в 10:37,01.07.2009,Индивидуальный,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,73,70,3,3570.00,2984.00,586.00,1228.20,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 11Д",55.761072,37.783545,7677756,"г. Москва, ул. Владимирская 2-я, д. 11Д",1959,03.03.2016 в 17:26,01.01.2010,Индивидуальная,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,58,56,2,2567.40,2328.00,239.00,879.35,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 13",55.759871,37.779763,7677773,"г. Москва, ул. Владимирская 2-я, д. 13",1960,03.03.2016 в 18:10,01.10.2010,I-511,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,77,74,3,3473.30,3111.00,362.00,1612.75,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 13Б",55.760292,37.782341,7677776,"г. Москва, ул. Владимирская 2-я, д. 13Б",1960,03.03.2016 в 18:17,01.01.2010,I-510,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,61,60,1,2669.80,2563.00,107.00,1228.30,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 15, корпус 1",55.759238,37.780482,7677779,"г. Москва, ул. Владимирская 2-я, д. 15, к. 1",1958,03.03.2016 в 18:20,01.01.2010,I-510,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,61,59,2,3011.90,2484.00,524.00,1135.65,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 15, корпус 2",55.75902,37.781542,7677782,"г. Москва, ул. Владимирская 2-я, д. 15, к. 2",1961,03.03.2016 в 18:25,01.01.2010,I-510,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,60,58,2,2599.40,2474.00,122.00,1401.70,0.00,0.00,,D,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 15, корпус 3",55.759552,37.782135,7677783,"г. Москва, ул. Владимирская 2-я, д. 15, к. 3",1959,04.03.2016 в 10:00,01.10.2010,Индивидуальная,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,46,45,1,2543.20,2477.00,66.00,1298.65,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 15, корпус 4",55.758924,37.782889,7677786,"г. Москва, ул. Владимирская 2-я, д. 15, к. 4",1960,04.03.2016 в 10:31,01.01.2010,I-511,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,50,48,2,3532.90,2625.00,908.00,1472.55,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 17",55.75861,37.7805,7680264,"г. Москва, ул. Владимирская 2-я, д. 17",1958,04.03.2016 в 10:25,01.01.2010,1-510,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,61,60,1,3977.10,3969.10,7.80,1503.50,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
